Date,Day,Time,Transaction,Item
30/10/2016,Sunday,9:58:11,1,Bread
30/10/2016,Sunday,10:05:34,2,Scandinavian
30/10/2016,Sunday,10:05:34,2,Scandinavian
30/10/2016,Sunday,10:07:57,3,Hot chocolate
30/10/2016,Sunday,10:07:57,3,Jam
30/10/2016,Sunday,10:07:57,3,Cookies
30/10/2016,Sunday,10:08:41,4,Muffin
30/10/2016,Sunday,10:13:03,5,Coffee
30/10/2016,Sunday,10:13:03,5,Pastry
30/10/2016,Sunday,10:13:03,5,Bread
30/10/2016,Sunday,10:16:55,6,Medialuna
30/10/2016,Sunday,10:16:55,6,Pastry
30/10/2016,Sunday,10:16:55,6,Muffin
30/10/2016,Sunday,10:19:12,7,Medialuna
30/10/2016,Sunday,10:19:12,7,Pastry
30/10/2016,Sunday,10:19:12,7,Coffee
30/10/2016,Sunday,10:19:12,7,Tea
30/10/2016,Sunday,10:20:51,8,Pastry
30/10/2016,Sunday,10:20:51,8,Bread
30/10/2016,Sunday,10:21:59,9,Bread
30/10/2016,Sunday,10:21:59,9,Muffin
30/10/2016,Sunday,10:25:58,10,Scandinavian
30/10/2016,Sunday,10:25:58,10,Medialuna
30/10/2016,Sunday,10:27:21,11,Bread
30/10/2016,Sunday,10:27:21,11,Medialuna
30/10/2016,Sunday,10:27:21,11,Bread
30/10/2016,Sunday,10:27:21,11,NONE
30/10/2016,Sunday,10:30:14,12,Jam
30/10/2016,Sunday,10:30:14,12,Coffee
30/10/2016,Sunday,10:30:14,12,Tartine
30/10/2016,Sunday,10:30:14,12,Pastry
30/10/2016,Sunday,10:30:14,12,Tea
30/10/2016,Sunday,10:31:24,13,Basket
30/10/2016,Sunday,10:31:24,13,Bread
30/10/2016,Sunday,10:31:24,13,Coffee
30/10/2016,Sunday,10:32:46,14,Bread
30/10/2016,Sunday,10:32:46,14,Medialuna
30/10/2016,Sunday,10:32:46,14,Pastry
30/10/2016,Sunday,10:34:36,15,NONE
30/10/2016,Sunday,10:34:36,15,NONE
30/10/2016,Sunday,10:34:36,15,Mineral water
30/10/2016,Sunday,10:34:36,15,Scandinavian
30/10/2016,Sunday,10:37:08,16,Bread
30/10/2016,Sunday,10:37:08,16,Medialuna
30/10/2016,Sunday,10:37:08,16,Coffee
30/10/2016,Sunday,10:38:04,17,Hot chocolate
30/10/2016,Sunday,10:41:56,18,Farm House
30/10/2016,Sunday,10:43:08,19,Farm House
30/10/2016,Sunday,10:43:08,19,Bread
30/10/2016,Sunday,10:45:22,20,Bread
30/10/2016,Sunday,10:45:22,20,Medialuna
30/10/2016,Sunday,10:49:29,21,Coffee
30/10/2016,Sunday,10:49:29,21,Coffee
30/10/2016,Sunday,10:49:29,21,Medialuna
30/10/2016,Sunday,10:49:29,21,Bread
30/10/2016,Sunday,10:52:15,22,Jam
30/10/2016,Sunday,10:53:49,23,Scandinavian
30/10/2016,Sunday,10:53:49,23,Muffin
30/10/2016,Sunday,10:54:33,24,Bread
30/10/2016,Sunday,10:55:22,25,Scandinavian
30/10/2016,Sunday,10:56:08,26,Fudge
30/10/2016,Sunday,11:02:19,27,Scandinavian
30/10/2016,Sunday,11:03:24,28,Coffee
30/10/2016,Sunday,11:03:24,28,Bread
30/10/2016,Sunday,11:05:30,29,Bread
30/10/2016,Sunday,11:05:30,29,Jam
30/10/2016,Sunday,11:05:30,29,NONE
30/10/2016,Sunday,11:07:19,30,Bread
30/10/2016,Sunday,11:12:56,31,Basket
30/10/2016,Sunday,11:16:15,32,Scandinavian
30/10/2016,Sunday,11:16:15,32,Muffin
30/10/2016,Sunday,11:22:49,33,Coffee
30/10/2016,Sunday,11:25:45,34,Coffee
30/10/2016,Sunday,11:25:45,34,Muffin
30/10/2016,Sunday,11:27:34,35,Muffin
30/10/2016,Sunday,11:27:34,35,Scandinavian
30/10/2016,Sunday,11:33:08,36,Tea
30/10/2016,Sunday,11:33:08,36,Bread
30/10/2016,Sunday,11:37:10,37,Coffee
30/10/2016,Sunday,11:37:10,37,Bread
30/10/2016,Sunday,11:37:10,37,NONE
30/10/2016,Sunday,11:42:40,38,Bread
30/10/2016,Sunday,11:42:40,38,Tea
30/10/2016,Sunday,11:44:31,39,Scandinavian
30/10/2016,Sunday,11:55:51,40,Juice
30/10/2016,Sunday,11:55:51,40,NONE
30/10/2016,Sunday,11:55:51,40,Tartine
30/10/2016,Sunday,11:55:51,40,Coffee
30/10/2016,Sunday,11:55:51,40,Muffin
30/10/2016,Sunday,11:57:06,41,Scandinavian
30/10/2016,Sunday,11:57:45,42,Bread
30/10/2016,Sunday,11:57:45,42,Tea
30/10/2016,Sunday,12:00:22,43,Scandinavian
30/10/2016,Sunday,12:00:22,43,Fudge
30/10/2016,Sunday,12:05:47,44,Coffee
30/10/2016,Sunday,12:05:47,44,Medialuna
30/10/2016,Sunday,12:08:36,45,Coffee
30/10/2016,Sunday,12:08:36,45,Hot chocolate
30/10/2016,Sunday,12:08:36,45,Medialuna
30/10/2016,Sunday,12:09:04,46,Coffee
30/10/2016,Sunday,12:15:29,47,Ella's Kitchen Pouches
30/10/2016,Sunday,12:15:29,47,Juice
30/10/2016,Sunday,12:15:29,47,Bread
30/10/2016,Sunday,12:15:29,47,Muffin
30/10/2016,Sunday,12:15:29,47,Jam
30/10/2016,Sunday,12:17:02,48,Coffee
30/10/2016,Sunday,12:23:01,49,Coffee
30/10/2016,Sunday,12:23:01,49,Coffee
30/10/2016,Sunday,12:23:01,49,Medialuna
30/10/2016,Sunday,12:25:11,50,Bread
30/10/2016,Sunday,12:25:11,50,Victorian Sponge
30/10/2016,Sunday,12:26:58,51,Bread
30/10/2016,Sunday,12:28:07,52,Scandinavian
30/10/2016,Sunday,12:33:08,54,Bread
30/10/2016,Sunday,12:38:06,55,Frittata
30/10/2016,Sunday,12:38:06,55,Coffee
30/10/2016,Sunday,12:38:06,55,Tea
30/10/2016,Sunday,12:38:06,55,Hearty & Seasonal
30/10/2016,Sunday,12:39:27,56,Coffee
30/10/2016,Sunday,12:39:27,56,Frittata
30/10/2016,Sunday,12:45:48,57,Scandinavian
30/10/2016,Sunday,12:59:29,58,Victorian Sponge
30/10/2016,Sunday,12:59:29,58,Hot chocolate
30/10/2016,Sunday,12:59:29,58,Tea
30/10/2016,Sunday,12:59:29,58,Soup
30/10/2016,Sunday,13:02:04,59,Tea
30/10/2016,Sunday,13:02:04,59,NONE
30/10/2016,Sunday,13:14:04,60,Cookies
30/10/2016,Sunday,13:14:04,60,Coffee
30/10/2016,Sunday,13:14:04,60,Juice
30/10/2016,Sunday,13:14:04,60,Coffee
30/10/2016,Sunday,13:15:38,61,Coffee
30/10/2016,Sunday,13:24:00,62,Pick and Mix Bowls
30/10/2016,Sunday,13:24:00,62,Hearty & Seasonal
30/10/2016,Sunday,13:24:00,62,Hearty & Seasonal
30/10/2016,Sunday,13:24:00,62,Coffee
30/10/2016,Sunday,13:24:00,62,Smoothies
30/10/2016,Sunday,13:24:00,62,Coffee
30/10/2016,Sunday,13:33:12,63,Coffee
30/10/2016,Sunday,13:34:07,64,Cake
30/10/2016,Sunday,13:37:25,65,NONE
30/10/2016,Sunday,13:37:25,65,Tartine
30/10/2016,Sunday,13:37:25,65,Mighty Protein
30/10/2016,Sunday,13:37:25,65,Tea
